id,name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365,description,accommodates,bedrooms,review_scores_rating
17408793,2 bedroom guest suite near GG park/ UCSF,Outer Sunset,Entire home/apt,184,2,604,221,"Garden apartment with two bedrooms, one bath, living room, that is on the lower floor of our home. (Enter through the garage)We live upstairs but you will have a separate entrance to this unit, a 43 inch flat screen television, and Free wifi. The N Judah streetcar is blocks away and will take you to downtown San Francisco. You will also be very close to Golden Gate Park's museums and gardens. “Please read the listing thoroughly prior to booking.",4,2.0,4.82
17419327,Residential hotel near Union Square SF room#2,Downtown/Civic Center,Private room,66,32,30,179,"Emperor Norton Inn, a residential hotel conveniently located in downtown San Francisco, 2 blocks to Union Square, cable car stops, shopping mall, department stores, cafes and restaurants. This is apt#2, private room with private bathroom. Noisier facing the street, but bigger & brighter than other apts in the building.",1,1.0,4.7
17419803,Residential hotel near Union Square SF room #9,Downtown/Civic Center,Private room,123,32,17,180,"Emperor Norton Inn, a residential hotel conveniently located in downtown San Francisco, 2 blocks to Union Square, cable car stops, shopping mall, department stores, cafes and restaurants. This is room #9, a private room and the bathroom will be shared with 1 other person.",1,1.0,4.71
17420087,Residential hotel near Union Square SF room #3,Downtown/Civic Center,Private room,109,32,42,179,"Emperor Norton Inn, a residential hotel located in downtown San Francisco, 2 blocks to Union Square, cable car stops, department stores, cafes and restaurants. This is room #3, a private room and the bathroom will be shared with 1~2 other person. This room doesn’t offer much of a view (window facing next building/wall), but it’s quieter at night / no street noise (some music from downstair cafe during daytime).",1,1.0,4.88
17430696,The Suite! Large cozy studio with private entrance,Outer Mission,Entire home/apt,203,2,317,280,"Independent living space with a private entrance, in a quiet residential neighborhood. The Suite has all the amenities to make your stay carefree and relaxing. Located within walking distance of San Francisco City College, and easy access to all the attractions the city has to offer. Experience SF on MUNI, just a 5-minute walk, and BART, a 15-minute walk from the front door. A variety of restaurants and cafes are within a few blocks.",2,0.0,4.97
17433075,"Red Victorian - Private ensuite, Rose Garden",Haight Ashbury,Private room,93,1,165,0,"The Rose Garden is a private bedroom with bathroom located in the historic Red Victorian, near Haight-Ashbury. The Red Victorian is an experimental community run hotel that offers unique guest experiences. While here, we invite you to attend events: lectures & talks, skill shares, music nights, art shows! Near Golden Gate Park and Twin Peaks, this central location also offers easy direct lines to both downtown and the beach.",2,1.0,4.67
17434665,Large Garden Apartment On Quiet Street,West of Twin Peaks,Entire home/apt,249,30,79,340,Spacious (roughly 700 square feet) and luxurious modern garden studio with private entry. Large bathroom with walk in shower with huge walk in closet and washer/dryer. Full kitchen with new appliances. Located on VERY quiet street with plenty of parking which is a rarity in SF. Short walk to MUNI Underground stations (Forest Hill and West Portal). A great leaping off point to most any place in the City and also very easy access to Highway 101 and 280.,2,0.0,4.86
17444964,Experience Noe Valley from Stylish and Private House,Noe Valley,Entire home/apt,772,2,178,17,"This STYLISH Victorian is perfect for your San Francisco vacation, family visit or business travel! Ideally located, spacious & quiet, it features a remodeled bathroom with radiant heating, 2 comfortable bedrooms, and a secluded deck and garden. Noe Valley is a sunny and fun neighborhood with great coffee, restaurants, bakeries, parks, bars and convenient transportation. Enjoy hilltop views, SF Victorians, a local farmers' market and friendly people. Whole Foods & Philz Coffee make it ideal.",4,2.0,4.95
17445405,The View in San Francisco - King Bed Room,Potrero Hill,Private room,154,30,201,365,"Affordable comfortable bedroom in a peaceful sunny neighborhood and gorgeous views of San Francisco. This is one of the biggest rooms in the house with access to the backyard. A home away from home - a mile or two to downtown San Francisco. Very friendly and accommodating host with a touch of Filipino hospitality. Come, visit and explore the uniqueness of San Francisco.",2,1.0,4.62
17516202,Single Bed R-5 with Shared bath,Downtown/Civic Center,Private room,103,1,156,282,"My place is good for couples and solo adventurers. Luz Hotel is located in the neighborhood that borders Tenderloin and Knob Hill. The terms ""Tenderloin Heights"" and ""The Tendernob"" refer to the area around the indefinite boundary between the Upper Tenderloin and Lower Nob Hill. You'll be at Geary St that's fine. The Tenderloin is more Ellis, Eddy, Golden Gate and Turk streets. Don't worry about it, and really, Geary all the way in both directions isn't bad",1,1.0,4.56
17518933,Small Room # 6 with Shared Bath,Downtown/Civic Center,Private room,89,2,75,252,"This room is in the back of the building with one window facing the garden. In the morning, you will usually heard the birds singing. Very quiet room. This room is perfect for travelers on a budget. room has a hardwood floor and measures 80 sq ft. It has a sink and a flat screen TV.",1,1.0,4.53
17570252,Elegant and Spacious Castro Flat,Castro/Upper Market,Entire home/apt,370,30,5,105,"Spacious (960 sq. ft.) flat in the heart of San Francisco's most colorful district. Close to restaurants and bars and up the street from the historic Castro movie theater, but on a residential and quiet block. Fully equipped, renovated kitchen; TV with cable, Netflix, and Amazon Prime; washer/dryer downstairs. Perfect for folks who are looking for a longer stay in this fabulous city. Ask me for more details!",3,1.0,5.0
17585947,Peaceful Zen Garden Flat to Charm and Recharge You,Outer Richmond,Entire home/apt,204,3,278,101,"Spacious in-law unit with lots of natural light. Lovely patio garden. Our home is quiet all day and night. King bed, parking, laundry on site, gas range for cooking, speedy WiFi. Ocean Beach, coastal trails, Golden Gate Park, Sutro Baths nearby. Located in a safe neighborhood. Dog park, family playground, produce market, movie theater, pizza, bagels, great ethnic food, pharmacy all walkable. Clean well behaved pets always welcome! Pls read about the listing bedrooms in the property description.",4,2.0,4.96
17622881,"Private Room, quiet neighborhood",Excelsior,Private room,89,2,107,255,"Private room, private bathroom, all the basics needed for a great stay!",2,1.0,4.75
17626794,Nob Hill bedroom #4,Nob Hill,Private room,185,30,14,349,"Cozy Single bedroom in Nob Hill SF. It comes with 1 full bed, its own PRIVATE BATHROOM, closet, and wifi. The kitchen is communal and very spacious and includes a stove, fridge.",2,1.0,4.36
17626853,Nob Hill single bedroom #1,Nob Hill,Private room,127,30,5,287,"Large Single bedroom in Nob Hill SF. It comes with 1 queen bed, its own PRIVATE BATHROOM, closet, and wifi. The kitchen is communal and very spacious and includes a stove, fridge, microwave, and cooking and eating utensils.",2,1.0,5.0
17626927,Nob Hill single bedroom #3,Nob Hill,Private room,155,30,3,348,"Large Single bedroom in Nob Hill SF. It comes with 1 queen bed, its own PRIVATE BATHROOM, closet, and wifi. The kitchen is communal and very spacious.",2,1.0,5.0
17642091,Audrey & Nick's Place,Bernal Heights,Entire home/apt,227,2,336,26,"Audrey and Nick’s place is a comfortable, spacious studio with a private entrance, and all the comforts of home. It is located in the renovated basement of a 19th century farmhouse and is fully apportioned with a queen size bed, a large bathroom with a deep tub and access to both front and back yards. It has all the basics, and then some. It is a perfect base of operations for days and nights on the town or around the Bay and a great place to stay in and get things done.",3,0.0,4.93
17642555,Nob Hill single bedroom #7,Nob Hill,Private room,138,30,5,275,"Large Single bedroom in Nob Hill SF. It comes with 1 queen bed, its own PRIVATE BATHROOM, closet, and wifi. The kitchen is communal and very spacious and includes a stove, fridge, microwave, and cooking and eating utensils.",2,1.0,4.8
17642620,Nob Hill single bedroom #5,Nob Hill,Private room,177,30,8,349,"Large Single bedroom in Nob Hill SF. It comes with 1 queen bed, its own PRIVATE BATHROOM, closet, and wifi. The kitchen is communal and very spacious. Bathroom is across the bedroom, you don’t need to share the bathroom with others. It has a lock on it.",2,1.0,4.88
17651619,"Room with bay windows, cable cars and the Wharf!",North Beach,Private room,83,30,43,240,"This room is located within walking distance from many of SF main attractions! The cable cars pass by the Bay windows with regular frequency in this old Victorian built in 1903. If you want a taste of traditional San Francisco, this room is a great option.",1,1.0,4.88
17668130,"SF fun park apt~GG Park, Beach",Outer Sunset,Entire home/apt,252,3,96,50,"My place is close to Ocean Beach, Golden Gate Park, Street car station, Many local food markets, Restaurants. You’ll love my place because of the location, the people, the outdoors space, the neighborhood, and the ambiance. My place is good for business travelers, couples, solo adventurers. People from all backgrounds are welcome in my home. My listing has 3 beds for 4 people. However, you will have to pay extra fee for more than 2 people.",2,1.0,4.93
17670655,Work/Leisure 10 min walk from Glen Park BART,Glen Park,Entire home/apt,321,3,43,0,"Enjoy this lovely, light-filled home in a safe residential neighborhood. Licensed. Comfortable space, few blocks from all the amenities of Glen Park Village and BART, which gets you to downtown San Francisco in 10 minutes or to the airport in 15 minutes. A perfect starting point for exploring SF or for business trips. The house is very suitable for singles, couples or families with one or two kids. It has a very comfy bed in one of the bedrooms and a tri-fold mattress in the other room.",2,1.0,4.88
17696905,"Red Victorian - Private room w/sink, Golden Gate",Haight Ashbury,Private room,120,1,163,0,"Golden Gate is a private bedroom located in the historic Red Victorian, near Haight-Ashbury. The Red Victorian is an experimental community run hotel that offers unique guest experiences. While here, we invite you to attend events: lectures & talks, skill shares, music nights, art shows! Near Golden Gate Park and Twin Peaks, this central location also offers easy direct lines to both downtown and the beach.",2,1.0,4.77
17717979,Standard Double with shared bath,Downtown/Civic Center,Private room,73,1,74,291,"This room has hardwood floor. It has a sink inside the room. It has a double bed that sleeps 2 people. The room comes with a good size flat screen TV. Restroom is right in front of the door in the hallway, Shower is right around the corner few steps away from your room. Each room in this hotel is individually designed. No 2 rooms are the alike. The room also comes with complementary bottled water, robe, bath towel, face towel & other toiletries. Free wi-fi.",2,1.0,4.53
17722015,Private Master bedroom & bath in the heart of SF,Western Addition,Private room,129,30,13,0,"Beautiful Master room in 3 bedroom, 2.5 batch apartment is in sunny Lower Pacific Heights close to, Pacific Heights, Hayes Valley, NOPA, Japantown, Presidio. Easy access to public transit. It's close to supermarkets, shops, and restaurants. My place is good for couples, solo adventurers, and business travelers. Only 4 blocks from Fillmore Street! Perks in room: wifi, cable, fireplace, Cal-king bed, balcony, private bathroom with jacuzzi tub : D",2,2.0,4.85
17723975,Private room in view home atop San Francisco,West of Twin Peaks,Private room,132,7,27,17,Enjoy amazing views from a serene home while accessing all San Francisco has to offer!,1,1.0,5.0
17753503,"Nicely remodeled room, free parking in Bernal",Bernal Heights,Private room,69,1,925,240,"Welcome to our newly renovated home in Bernal Heights. Queen size bed and private bathroom. Parking off the street is free and easy. Cable HDTV and internet are included. Two bus lines run through the neighborhood, making it easy to utilize public transportation: buses 24 and 67 take you directly to the city center if you are not in a hurry and you like to observe the city (Mission, Castro, Lower Haight...).",2,1.0,4.94
17767353,"Red Victorian - Private room w/sink, Tea Garden",Haight Ashbury,Private room,116,1,115,0,"The ""Japanese Tea Garden"" is a private bedroom located in the historic Red Victorian, on Haight-Ashbury. The Red Victorian is an experimental community run hotel that offers unique guest experiences. While here, we invite you to attend events: lectures & talks, skill shares, music nights, art shows! Near Golden Gate Park and Twin Peaks, this central location also offers easy direct lines to both downtown and the beach.",2,1.0,4.7
17767863,"Red Victorian - Private room w bath, Sunshine",Haight Ashbury,Private room,94,1,134,0,"The ""Sunshine"" room is a private bedroom with bathroom located in historic building Red Victorian, in Haight-Ashbury. The Red Victorian is an experimental community run hotel that offers unique guest experiences. While here, we invite you to attend events: lectures & talks, skill shares, music nights, art shows! Near Golden Gate Park and Twin Peaks, this central location also offers easy direct lines to both downtown and the beach.",2,1.0,4.59
17807709,Historic Pac Heights - month to month rental,Pacific Heights,Entire home/apt,1111,60,0,0,"Will rent to a family, but not to a group of roommates or business. Ideally located within 3 block radius of 7 coffee shops. 2-3 blocks from shopping and restaurants on Polk and Union. Parking, yard, sandbox, basketball hoop, trampoline, etc.",8,5.0,
17811571,Cozy and Private Bernal Heights Suite Near Cortland Avenue,Bernal Heights,Entire home/apt,230,30,237,53,"Sleep soundly on a Tuft and Needle mattress, waking up next morning to enjoy the snacks provided in the subway-tiled kitchen. This classic ground-level apartment with a modern touch also features designer lighting. Close to the heart of the neighborhood, with one street to cushion this quiet place from the main thoroughfare. Classic San Francisco ground level apartment with a modern touch. Ideal place for those looking to stay in a hip but safe and charming neighborhood. Nightlife, restaurants, cafes, cute shops and boutiques. 3 min walk from Cortland, 20 min car ride from downtown SF. Queen B",2,1.0,4.81
17826404,Studio on hottest SF neighborhood!,Western Addition,Entire home/apt,328,30,35,318,"Amazing location in trendy neighborhood in SF! The studio is located on Divisadero St, right in the heart of NOPA. Walker's and commuters paradise, tech buses a block away. Some of the best restaurants and groceries in town : NOPA, Bar Crudo, Brenda's Soul Food, Fools errands, The Mill, Bi- Rite Market, Falettis, Sigh Glass Coffee... and steps away from Alamo Square, Golden Gate Park, Duboce Triangle! This is your perfect place to explore the real San Francisco!",2,0.0,4.86
17833058,Heart of North Beach - Private 1 BD/1BA,North Beach,Entire home/apt,401,30,80,261,"This charming location is perfect for your San Francisco get-away. It is conveniently located near all of the action of North Beach including many popular restaurants, parks, playgrounds, shops and nightlife. MUNI access is two blocks away and it is walking distance to Chinatown, Fisherman’s Wharf and the Financial District.",2,1.0,4.74
17863112,Sunny Victorian Artist's home,Mission,Entire home/apt,694,2,73,68,"Our beautifully furnished Victorian home in the vibrant Mission District comes furnished with linens, fully stocked eat in kitchen with gourmet range, and spa style marble bath.",5,2.0,4.85
17925808,Mi casa tu casa BY THE BAY,Marina,Private room,188,2,346,327,"Great clean place in prime location! Center of all attractions in the city by the BAY.. restaurants, coffee shops, bars, parks, shopping.. few blocks from the famous Lombard cricket Street, fisherman wharf and downtown UNION SQUARE with cable cars-",2,1.0,4.94
17944621,"Red Victorian - Private room, Playground",Haight Ashbury,Private room,132,1,58,0,"The Red Victorian is an experimental community run hotel that offers unique guest experiences. While here, we invite you to attend events: lectures & talks, skill shares, music nights, art shows! While here, we invite you to attend events: talks, classes, skillshares, music nights, art shows and more! Close to Haight-Ashbury, the Golden Gate Park, and Twin Peaks, this central location also offers easy direct lines to both downtown and the beach.",2,1.0,4.57
17965243,"Modern, Bright and Quiet Home w/ Dedicated Parking",Outer Sunset,Entire home/apt,220,2,406,34,"Welcoming all travelers! With plenty of natural light, this home is in the Sunset neighborhood known for its sleepy charm and beach vibes! Great place to stay if you need a relaxing home base from which to retire to after a day out of seeing the the city. You won't be fighting for any parking as there is one parking spot included. Upstairs unit only w/ garage access to do laundry. Note: I live in a separate unit downstairs with my own separate entrance.",4,2.0,4.95
17979286,Cozy Studio with Garden 20 minutes from SFO,West of Twin Peaks,Entire home/apt,414,2,329,301,"Our large & comfortable apartment has its own entrance, bedroom, bathroom, living area, chairs, dining area, and kitchenette. 20 minute drive from SF Airport, 45 from Oakland. Easy street parking, but you do not need a car. We provide everything you need - pack your clothes and come! IMPORTANT: Pets allowed, but there is an additional charge of $30 per night per pet.",3,1.0,4.95
17982304,Relaxed Apartment with a Patio in The Castro,Castro/Upper Market,Entire home/apt,293,2,698,320,"Brew a cup of coffee in a cozy kitchen with elegant tiling and find a seat on a decked patio wrapped in a leafy garden. Curl up with a book on a modern sofa in a living area boasting colorful paintings, a stocked bookcase, and exposed wood beams. The unit is a private apartment below the main house with a private entrance. There is one bedroom and a pull out queen sofa. There is room for approx four people (2 per bed) and one bathroom. The summer kitchen features a brand new quartz counter top, beautiful spanish tile backsplash, drink refrigerator with freezer, microwave, toaster oven (for lig",2,1.0,4.95
17991554,"5912: Cozy Queen Suite Near Park, Beach, &Transit",Outer Sunset,Private room,69,2,283,90,"Escape to a peaceful oasis in the Sunset District, steps from Golden Gate Park and close to Ocean Beach. This private bedroom with an ensuite offers a calming retreat, complete with a mirrored closet, workspace, and access to a shared kitchenette. Enjoy the vibrant neighborhood filled with diverse dining, cozy cafes, and convenient shops. Public transit nearby takes you to the Golden Gate Bridge, Downtown SF, or anywhere your adventure leads. Perfect for solo travelers and professionals alike.",1,1.0,4.86
18021096,Awesome Ocean View -1 BR & 1 BA,Outer Richmond,Private room,66,30,1,268,"An ocean lover's dream! This spacious master bedroom with a private bath (in 2 BA/2BA unit) is ideal location across the street from Golden Gate Park & Ocean Beach, and just steps from Beach & Park Chalet, Sutro Park, Cliff House, Lands End, public transportation. The light filled master BR with its own bathroom opens to sliding glass doors opening to a private patio perfect for an evening glass of wine! - Ocean view & Seal Rocks!",1,1.0,4.0
18037180,Gorgeous Serenity in the City with Views near Haight Ashbury Golden Gate Park,Haight Ashbury,Entire home/apt,387,4,146,50,"Settle into this amazing, light filled, stunning old San Francisco Victorian that I have called home for 25 years. With incredible south facing city and park views, relax in the open space of a large great room! Filled with character, this completely renovated Victorian has 120 years of history and stories to tell.",6,4.0,4.97
18059324,Cozy single bedroom #3,Nob Hill,Private room,130,30,15,227,"Single private bedroom with one full bed & furnishing with shared bathroom. Conveniently located on Polk & Sacramento with many restaurants, bars, shops, and public transportation. Colorful night life and easily accessible to all parts of the city.",1,1.0,4.47
18063783,"King of Kings of the Haight Ashbury, San Francisco",Haight Ashbury,Entire home/apt,697,3,45,365,LOCATION! LOCATION!LOCATION! SUPER HOST! 5 STAR RATED! This is the best Flat/Apartment in San Francisco with the largest rooms! FOUR King sized beds and ADT security. Check Calendar for specials!,9,4.0,4.53
18069283,"Quiet, Modern Room Available",Bayview,Private room,75,60,4,0,Room for rent at Candlestick Point.,1,1.0,5.0
18111498,"Private, quiet and spacious in-law unit",Bayview,Entire home/apt,147,2,113,258,"This charming and cozy in-law unit is the perfect home away from home for your next trip. Whether you're traveling for business, pleasure, or a little bit of both, our rental offers a comfortable and convenient base from which to explore all that SF has to offer either by public transportation, Uber or driving. Our rental is ideal for a couple with an extra guest. We take great pride in ensuring that our guests have a wonderful stay, and we look forward to welcoming you in SF.",3,1.0,4.68
18124506,Top Floor Big bright SOMA 3 bdr on historic alley,South of Market,Entire home/apt,670,30,16,222,"Gorgeous fully remodeled 3-bedroom apartment in historic building on a historic block of SOMA. Three big bedrooms and plenty of closet space. This apartment is in a perfect location for walking and enjoying San Francisco, whether for business or pleasure.",7,3.0,5.0
18126981,A Great Loft in a Convenient Neighborhood,Inner Richmond,Private room,135,1,191,2,"Spacious room on the third floor of an old 5-bedroom Victorian with two community bathrooms and one kitchen. Located at the heart of the Richmond district of San Francisco, it's within walking distance to Golden Gate Park, Lake Presidio Park, De Young Museum, Academy of Science Museum, Stow Lake.",2,1.0,4.74
18153554,Cozy Single Bedroom 2-2,Nob Hill,Private room,93,30,2,338,"Come stay in our wonderful bedroom with its newly remodeled (shared) bathroom! This flat is very clean & spacious with excellent WiFi signal, great kitchen, and convenient location. Perfect for visiting students or professionals - close to FiDi/SOMA!",1,1.0,5.0
18156135,Private One bedroom/one full bath,Outer Sunset,Entire home/apt,175,2,102,190,"Private one bedroom for two persons only. Comfortable queen bed, table for two to eat (microwave/coffee/refrigerator) and cozy couch to relax after a long day. French doors open to backyard deck for your use. We come down to water the plants but we always give guests timeline of when this will occur. We are located a few blocks from MUNI N-judah train, Golden Gate Park, Ocean Beach and there is easy street parking. Great restaurants and amazing coffee few minutes walk away.",2,1.0,4.96
18199221,Wonderful 3 bdr apt in great neighborhood!,Outer Richmond,Entire home/apt,460,3,52,222,"Welcome to our beautiful home, a classic San Francisco Edwardian! We love it and are thrilled to share our place with you. It’s cozy, perfect for families, and in an excellent location, making it a true gem in the city. Our home is part of a charming building with two full units, and ours is the lower one above the garage. It features 3 inviting bedrooms, 1.5 baths, living room, dining room, kitchen & pantry. You'll find everything you need to relax and enjoy your time in SF!",5,3.0,4.94
18209966,Updated Loft + Historic Charm + Deck w/City View,Western Addition,Entire home/apt,348,1,259,32,"This spacious guest space is a symphony of opposites. Central location close to Muni & BART, yet tucked away on a quiet alley. Lively Hayes Valley with plenty of delicious restaurants just steps away yet a fully stocked kitchen for eating at home. Edwardian bones (1894) yet fully renovated in 2004 to be an open floor plan for a spacious contemporary feeling. Your own separate entry makes it your own private home away from home. Yet i am just a quick text away. Awesome view! 2813",2,1.0,4.9
18212346,Large Edwardian home w/ parking; parks & museums,Inner Richmond,Entire home/apt,501,3,3,0,"This is quintessential San Francisco in our gracious 3-story home. It was built in Edwardian style in 1914 and has the traditional charm of the era, enhanced by modern improvements. Our home is centrally located in SF, surrounded on three sides by parks and ocean. We are close to two golf courses, Land's End hiking, museums, fantastic restaurants, and several playgrounds. We are 5 minutes from Golden Gate Bridge, meaning super-easy access to Sausalito, Muir Woods, Sonoma, and Napa.",6,4.0,4.67
18221524,Spacious Studio in Lower Nob Hill,Nob Hill,Entire home/apt,575,30,9,0,"This spacious studio has a gourmet separate kitchen, separate entrance and bathroom. It is located in Lower Nob Hill walking distance to a variety of different neighborhoods (Nob Hill, Pac heights, downtown, Union square, Chinatown, and Japantown). There are incredible restaurants, bars and shops within blocks of the apartment building.",2,,4.89
18231981,Sunny contemporary1 Bed condo,South of Market,Entire home/apt,318,30,28,260,"Sunny 1 Bedroom condo in the beautiful Rincon Hill area. In a safe well maintained and managed Baycrest complex in South Beach. A little about the building/area: The Baycrest is located in the hip and sunny South Beach/Rincon Hill area of San Francisco just steps from the Embarcadero Waterfront, the AT&T Ballpark, the Financial District, Ferry Building, the Farmer's Market and many area restaurants, galleries, shopping, and the Moscone.",1,1.0,4.86
18286171,24aSFSU/Lakeshore beautiful 1bd/1ba private entran,Lakeshore,Private room,117,1,174,364,"Suite A is one of the two private master suites in this guesthouse located in the prime Lakeshore neighborhood across from Lake Merced/Harding golf course. Great location with easy access to the freeway (to south or east Bay Area, Silicon Valley, downtown, and sightseeing spots). Easy to go wherever with Muni bus, Uber, or Lyft. Close to Stonestown and Westlake shopping malls, SFSU, Ocean Beach, SF Zoo, and Golden Gate Park. Walking distance to Lakeshore Shopping Plaza (groceries, restaurants).",2,1.0,4.71
18333674,Residential hotel near Union Square SF room#4,Downtown/Civic Center,Private room,194,32,14,179,"Emperor Norton Inn, a residential hotel conveniently located in downtown San Francisco, 2 blocks to Union Square, cable car stops, shopping mall, department stores, cafes and restaurants. This is room #4, private room and private bathroom. This room doesn’t have much of a view from the window (since it’s facing the next building/wall), but it’s quiet (no street noise).",1,1.0,4.86
18349074,"Red Victorian - Private room w/4 beds, Poster Room",Haight Ashbury,Private room,147,1,55,0,"""Poster"" is a private bedroom for up to 4 people, located in the historic Red Victorian, on Haight-Ashbury. The Red Victorian is an experimental community run hotel that offers unique guest experiences. While here, we invite you to attend events: lectures & talks, skill shares, music nights, art shows! Near Golden Gate Park and Twin Peaks, this central location also offers easy direct lines to both downtown and the beach.",4,1.0,4.56
18359884,Sunrise Garden Suite with Bedroom City/Bay View,Castro/Upper Market,Entire home/apt,292,30,48,159,"🎗Newly remodeled and expertly created by Deniece Duscheone Design. We offer you this executive luxury private getaway and the best of San Francisco right at your doorstep. Located on one of San Francisco’s beautiful ~hills~, Buena Vista is surrounded by some of the city’s most vibrant neighborhoods—The Castro, The Haight-Ashbury and NOPA. Intimate cafes, sophisticated restaurants and colorful bars are just a walk away and a ""stone's throw"" from everything the City has to offer.",2,1.0,4.98
18450289,Walk everywhere from hip Mission District hideout,Mission,Entire home/apt,442,4,15,0,"Central to everything in the Inner Mission. Clean, modern, and convenient. Walk to great restaurants, bars, parks, and public transit to connect to the rest of the city. Everything is nearby in one of the most happening neighborhoods in San Francisco. Easy connection to both SFO and OAK airports. Literally in the center of the city! Get everywhere in 30 min or less. FULLY FURNISHED RENTAL. Cats welcome w/ additional fee. No Dogs.",3,2.0,5.0
18459919,"DREAMFORCE / SALESFORCE - San Francisco, CA",Chinatown,Private room,141,2,7,364,WORLDMARK SAN FRANCISCO is centrally located in the main business area of the city.,2,,5.0
18464444,Chez Sanchez,Noe Valley,Entire home/apt,351,6,62,0,"Located in wonderful Noe Valley, this beautiful two bedroom garden-level suite is a perfect retreat for those who value comfort and privacy. ***Ours is a friendly and inclusive home. We do not discriminate based on nationality, race, age, sexual orientation, or religious beliefs. All are welcome and appreciated!**",2,2.0,5.0
18470412,"SALESFORCE / DREAMFORCE - San Francisco, CA",Chinatown,Private room,94,2,3,365,"The WORLDMARK San Francisco is centrally located, in the main business district of the city.",2,,4.67
18471072,RSA in Downtown San Francisco,Chinatown,Private room,214,2,2,360,WORLDMARK SAN FRANCISCO is centrally located in the main business area of the city.,2,,5.0
18471840,DREAMFORCE / SALESFORCE - San Francisco,Chinatown,Private room,138,2,3,362,WORLDMARK SAN FRANCISCO is centrally located in the main business area of the city.,2,,5.0
18472576,RSA in San Francisco,Chinatown,Private room,85,2,2,364,WORLDMARK SAN FRANCISCO is centrally located in the main business district of the city,2,,4.0
18473036,San Francisco DREAMFORCE,Financial District,Private room,220,2,7,361,WORLDMARK SANFRANCISCO is centrally located in the main business area of the city.,2,,4.86
18474596,RSA Accommodations - San Francisco,Chinatown,Private room,125,2,2,361,WORLMARK SAN FRANCISCO is centrally located in the main business area of the city.,2,,5.0
18475014,RSA on Bush St in San Francisco,Financial District,Private room,176,2,6,361,WORLDMARK SAN FRANCISCO is centrally located in the main business area of the city.,2,,5.0
18475146,big room in san francisco,Inner Richmond,Private room,109,31,0,0,"large bedroom in 1-bed apt, room is light, airy, have a secluded location in the apartment and have everything for accommodation- big comfy bed, table and chairs, Web WiFi, big window, walk- in closet! there is no TV but if you really need one, we can accommodate one for you)) kitchen is available but for light cooking . Location is great, middle of Richmond district: lots of transportation to both sides of city, shops, restaurants!",1,2.0,
18504951,"❤ of SF's Hip Mission - Spacious, Comfortable Home",Mission,Entire home/apt,641,3,20,5,"Our uniquely spacious home is filled with natural light & art. Located on a quiet street in the vital, centrally located neighborhood of Mission Dolores, our home is an urban oasis, just steps from many restaurants, parks, cafes, and unique, small shops. You can also stay in and relax or work at home—enjoying our backyard’s patio, hot tub, ping pong, basketball, and gas grill. Great for family & business groups wanting ample space. There’s even a gated driveway with parking for 1-2 cars.",11,6.0,4.9
18527258,Large Room with Patio - 宽敞的大房(有阳台),Crocker Amazon,Private room,64,30,27,365,"Excellent for students or professionals to share apartment with housemates. Beautifully designed rooms with views. Immaculate newer condition, bright with lots of natural lights, clean and spacious. Opened granite kitchen counter top breakfast bar & dining space. In-floor radiant heat and hardwood floor throughout. Conveniently located in between Outer Mission and Daly City. Yes! You will have your own locked room all to yourself plus a patio with beautiful view!",1,,4.59
18546459,Room in penthouse,Outer Mission,Private room,103,30,28,336,"Excellent for students or professionals to share a penthouse condo with housemates. Beautifully designed rooms with views. Immaculate newer condition, with lots of natural light, clean and spacious. Open kitchen w/ granite counter top and breakfast bar & dining area. In-floor radiant heat and hardwood floor throughout. Conveniently located in Outer Mission near Daly City. Yes! You will have your own private bedroom! Please no visitors. We speak your language",1,1.0,4.54
18567881,Amazing Views - Entire Place,North Beach,Entire home/apt,708,30,35,355,"beautiful 2 story penthouse unit on the filbert steps with gorgeous 360 views of the bay. You’ll be able to see the bay bridge, treasure island and so much more right from the unit. There’s also a large roof deck to enjoy!",6,4.0,4.6
18571224,Ocean Beach Hideaway,Outer Sunset,Entire home/apt,206,30,8,266,"Private one bedroom apartment with full bath, light filled full kitchen/living room area with French doors that open onto a sunken patio. Cozy underfloor radiant heating. Two blocks from beautiful Ocean Beach",2,1.0,5.0
18582383,Noe/Castro two-bedroom penthouse apartment,Noe Valley,Entire home/apt,332,60,42,120,"This home is located in quintessential San Francisco surrounded by our famous rolling hills and iconic Victorian architecture. Family-friendly Noe Valley is a 5-minute walk away with its cute boutiques, restaurants and coffee shops. A 10-minute downhill walk leads you to bustling Castro home to Soul Cycle, fun bars and eateries and the LGBT community of the city.",2,2.0,4.76
18615032,Cozy Guest Suite in Great Location,Castro/Upper Market,Entire home/apt,316,2,466,51,"This cozy guest suite is updated, nicely furnished, and well equipped. Walking distance to Castro, Muni trains & streetcar, and other wonderful SF neighborhoods, parks and shopping.",2,1.0,4.95
18669935,Eclectic & Artsy Light Filled 1 Bedroom Apt,Western Addition,Entire home/apt,313,30,105,74,"Spacious and light filled top floor apartment in lower pacific heights. 1930's building with period details that has been completely renovated and modernized. Located on quiet street and centrally located to great neighborhoods - The Fillmore, Japantown, and The Haight - Close to Golden Gate Park and The Presidio. Blocks to 5 major MUNI bus lines that can take you to most places in the city. Easy Street parking - free 2 hour parking Mon- Fri - and no restrictions Fri to Mon AM. SF registered",2,1.0,4.94
